(10336,12749) 8412 5169 6894 3444 19703 7994 8400 17538 5240 9532 13657 2977 9267 14331 3120 18133 4118 489 2381 1382 5017 11157 8542 5230 3792 2315 14705 8518 5492 1125 11219 8788 7105 853 4051 13648 1376 2327 16409 15143 12280 17840 20753 9749 17455 5582 6782 11127 18 1431 17069 18558 691 3324 6252 10510 6328 1849 19439 7064 6579 5873 5603 11822 5973 19915 8064 10147 7789 9979 1993 1266 2829 179 13964 7663 297 3809 6736 19430 37 15355 10059 12424 6745 13113 5825 22 3572 5339 1808 6021 310 6942 157 1478 721 9099 43 9812
(18482,15) 2683 90 8597 1075 3862 1146 9312 6215 1175 14642 5936 2501 204 9327 12442 16083 7883 1828 9418 6255 4708 13068 5233 3442 6449 5698 18015 16172 18582 18547 5027 10297 2719 16175 10826 198 16561 8384 19582 16543 5565 6464 16951 7393 4850 1912 1568 8617 13113 3348 11298 5130 7733 1325 14159 9777 2914 778 17942 4019 8233 684 752 894 1778 20129 15322 347 3090 16270 16581 7531 2021 1508 11596 10945 12364 3897 5004 917 6898 876 9255 16412 17142 11105 1029 3972 5459 11635 12113 6896 5840 2553 1535 15618 15070 14498 2203 16747
(18482,3505) 14312 16604 2860 14174 4539 4760 9351 11088 9595 11670 8299 17082 10386 8673 10155 7355 12043 20013 7268 10040 16437 8736 11181 1518 2829 17365 1969 2378 2747 3347 2640 355 1967 13124 4049 3309 12282 14775 2927 4574 5296 19156 5210 2541 13749 16800 9045 14982 1437 177 1171 12119 16797 13149 11372 1351 10739 2068 11139 5529 545 5881 20744 5668 8399 12262 12322 7636 5284 4989 12015 4533 20039 5581 1029 16496 3507 9649 5590 3378 17433 3897 444 1875 10311 3066 8322 12383 513 14120 7513 805 6212 3532 1089 3730 8127 15009 10860 1192
(4420,3932) 3305 17935 18103 4185 10687 8912 11226 11142 14097 10640 7398 11477 9285 7490 16339 3 8041 14583 15928 7726 23 3166 15020 4523 988 9578 3333 13544 14118 5964 6552 753 8446 7451 17590 2493 18669 7018 10827 3384 3495 7841 3830 246 15856 14916 3129 14304 137 2173 19099 8196 1168 11281 4126 3632 19074 8038 7191 15735 670 6753 9447 14377 6596 2946 10877 16686 2516 6728 15623 338 3927 4451 7718 2484 101 2423 4164 8612 19383 8392 6194 10765 5966 14657 9051 4884 18883 13158 5736 3225 4312 5603 5033 9336 13010 8101 7086 10919
(9030,6) 8915 6203 18668 13591 6612 4477 2856 6417 4264 5591 17066 52 12061 18391 626 2819 6446 3759 15951 3689 13574 1467 9935 1122 6335 1365 2113 4611 9565 10108 17547 3089 10273 1264 11866 4017 917 8985 12165 2812 7629 6479 19814 11570 19842 5524 2516 4665 421 3870 12246 15180 16 354 10943 13567 3744 17289 18104 10607 6414 9282 19192 16933 199 2092 12023 10576 6611 1175 2387 4044 1025 2691 18009 9486 17655 8633 13570 20251 15950 20809 12202 15023 631 17397 7064 1976 6041 4423 16321 6548 18956 3087 7551 85 3100 10634 2351 11531
(9030,45) 10285 2824 9022 9451 10085 3717 2769 3507 6098 5179 3284 3025 2272 20095 16212 13756 2797 10835 20028 3866 19481 3900 2380 8628 286 8623 17064 14915 10218 8461 8678 1117 5512 494 20005 6736 5387 3629 18054 7444 2940 4801 778 15969 11568 1980 11182 16341 4373 8475 13750 2331 1827 19099 12300 15160 2082 3219 1602 2772 3209 15343 2906 1395 5592 5226 3169 3185 2017 4478 179 4662 7273 11242 10793 40 7064 4290 10386 16860 14048 7484 2114 10839 3155 791 6848 18366 4581 12058 17551 8149 7602 17804 3786 1627 16226 1487 19345 12302
(9030,57) 8736 11493 7278 12262 4495 10673 12573 2524 4549 9640 10431 3715 1810 6058 7244 5229 11092 7911 16398 533 11349 3765 3157 10666 19096 15342 5772 8651 8830 3794 14 506 10066 17342 1656 16408 10101 4244 499 1842 901 13465 13480 4180 19582 8571 4993 3198 3632 15670 6131 1689 13518 5710 10624 14331 14645 3363 27 17775 10510 206 7543 887 16176 6695 7018 1015 12407 10482 11753 9379 8013 5964 13547 3074 7647 403 12734 2797 8770 7727 20000 3863 9376 9193 8494 475 12116 5438 10211 15312 12796 3757 16939 9687 489 9439 15617 2645
(9030,169) 10950 6059 3628 558 9325 10495 4340 8511 2249 731 5587 9205 4898 20959 9349 16151 6044 13843 12451 14164 13592 470 8542 2903 461 19459 4749 1883 1244 9102 18582 11118 11928 990 11260 7286 1465 934 3120 18412 17608 11266 15378 7630 3250 7525 3095 18192 12232 1097 6375 20549 2158 13901 4802 5259 11136 15360 15115 19987 15671 9010 10287 7214 16718 6315 2352 7292 728 14186 1166 10183 4182 5142 2611 1095 10150 18485 15112 1356 13534 10639 6411 10034 8029 10320 2218 237 2691 8148 8622 15746 12340 13775 201 10166 14843 1814 16506 6345
(9030,178) 10217 4137 1084 17808 17946 13297 17814 16277 4465 10836 1171 20156 12641 10739 10816 12235 9349 9439 1461 17984 11213 11287 1846 8802 10078 1756 19156 5028 3261 12455 12892 2085 14353 13959 17606 18577 3734 10528 15841 10945 4290 3191 11346 9569 1957 12787 15847 16061 20085 2482 5226 5339 2842 20808 14801 12310 15596 16244 15915 273 9689 6755 15262 6195 6442 926 8506 10811 18958 6260 11145 8553 14988 16444 3925 3448 12032 6503 9555 286 15115 3167 17534 14344 9694 2619 5616 1653 5253 1695 14822 5326 16852 9353 2248 339 3440 10156 3432 3764
(9030,253) 16272 1242 4853 2532 720 10898 2281 20121 13147 5912 3457 10701 2966 4554 5558 12819 5351 8057 16128 6045 12361 20089 8852 9619 416 8398 7877 2136 16809 17873 6992 12531 4299 531 3612 6595 13489 17179 833 9601 2675 10194 18956 1743 7150 7687 3464 12892 3846 8622 108 4108 4783 17505 5054 15272 6979 19177 20081 10069 3654 20166 3906 5755 3354 263 15840 13728 11729 6228 5711 5652 18908 3178 11668 6427 4204 9663 20511 13739 12309 16866 1106 12828 2012 8165 18081 856 19726 560 258 795 16913 1030 4290 9822 9442 8327 17067 6502
