book_id,title,ratings_count,country_code,is_ebook,average_rating
2052,Vision of Sir Launfal and Other Poems,3,US,False,3.83
20177,Fairy Tales: Dramolettes,37,US,False,3.83
4670,Growltiger's Last Stand and Other Poems,45,US,False,4.38
18963,The Cocktail Party,115,US,False,3.71
11537,Louder Than Everything You Love,9,US,False,5.0
6941,دریا پری، کاکل زری,405,US,False,3.47
9822,Borderlands/La Frontera,98,US,False,4.25
3759,Naked Soul: The Erotic Love Poems,27,US,False,3.95
15074,Geografías,131,US,False,4.09
20565,Little Boy Blue: A Memoir in Verse,11,US,False,4.09
4742,God Hunger,20,US,False,3.88
8334,The More Loving One,13,US,True,4.0
4988,Inherit the Wind,434,US,False,3.96
6516,Poetry is Not a Project,91,US,False,4.46
19464,soft thorns,123,US,True,4.02
4467,Básně a blues,21,US,False,4.19
8002,Circles of Hell,399,US,False,3.29
7026,The Táin,70,US,False,3.97
13519,what it means to be avant-garde,43,US,False,4.47
5535,The Zephyrs of Najd: The Poetics of Nostalgia in The Classical Arabic Nasib,8,US,False,4.5
18535,Γέρμα,14,US,False,3.81
19172,رباعیات عمر خیام,28,US,False,4.18
18841,Mr. Either/Or,30,US,False,4.53
536,Three Poems: Host and Guest / Aluda Ketelauri / The Snake-Eater,448,US,False,4.7
20822,100 Poems to Lift Your Spirits,38,US,False,3.89
14270,At the Sea Floor Cafe: Odd Ocean Critter Poems,41,US,False,3.64
14873,Ants on the Melon: a Collection of Poems,71,US,False,4.02
19298,Winter Stars,58,US,False,4.51
11941,Update,10,US,False,3.4
14562,Hover,21,US,False,4.71
4762,Happy Life,50,US,False,4.17
8044,আবুল হাসান রচনাসমগ্র,16,US,False,4.62
8614,Where the World Begins,3,US,False,5.0
9128,God Breaketh Not All Men's Hearts Alike: New & Later Collected Poems,8,US,False,4.0
18850,Desolation of the Chimera,27,US,False,4.44
2202,A Shropshire Lad,1438,US,False,4.04
6802,Histories of the Future Perfect,6,US,False,4.0
8593,أسباب وجيهة للفرح,56,US,False,3.38
7038,Teaching My Mother How to Give Birth (mouthmark series Book 10),496,US,True,4.38
20497,Black Butterfly,7,US,True,4.19
12606,The Sea in You: Twenty Poems of Requited and Unrequited Love,27,US,False,4.36
391,"Egghead: Or, You Can't Survive on Ideas Alone",6461,US,False,4.12
17300,Ariel,5,US,False,4.23
1684,The Art of Recklessness: Poetry as Assertive Force and Contradiction,468,US,False,4.15
21008,The Kind of Beauty That Has Nowhere to Go,19,US,False,4.26
4569,The Songs of Maldoror,82,US,False,4.19
20652,Bone Confetti,12,US,False,4.75
20997,L'Amour fou,51,US,False,3.89
20520,The White Goddess,60,US,False,4.02
12619,The Tree House,83,US,False,3.89
19531,Whetstone,21,US,False,4.0
14549,شاهنامه فردوسی (کپی از چاپ  مسکو) چهار کتاب اصلی و سه داستان الحاقی,53,US,False,4.51
13899,Месопотамія,291,US,False,4.0
7877,Split,133,US,False,4.45
16850,Hourglass Museum,52,US,False,4.55
19422,The Origin Of The World,23,US,False,4.5
2761,Dear Boy,174,US,False,3.85
18641,The Selected Letters of Allen Ginsberg and Gary Snyder,64,US,False,4.05
2520,Not about Heroes,76,US,False,3.92
7240,The Poems Of Wilfred Owen,919,US,False,4.34
8353,Collected Poems 1969-2014,21,US,False,4.28
11748,Ode to London: Poems to Celebrate the City,23,US,False,4.0
