(402,1021) 10400 6727 13448 13763 6485 5176 14511 10996 18965 20119 322 8185 6596 12136 6539 1180 8314 450 833 3364 2505 20401 2584 118 10958 16756 2769 7603 4190 11582 585 6045 6852 237 9270 13557 531 9257 14420 5910 1757 15913 3735 3221 7166 2491 8397 11818 2054 2125 5795 3078 999 702 13245 10057 14583 19473 3879 15457 16836 2516 8472 553 4415 13910 8473 15180 124 10218 2822 1120 15348 14990 1729 5218 14591 1501 8880 18772 10600 15963 17364 8943 6731 8591 7014 419 16931 8784 9007 4734 516 6020 6617 10376 12818 17888 6238 270
(592,1879) 20081 7316 3978 11777 11477 5518 10735 3339 4078 91 490 15341 2695 4585 6942 1320 2961 12707 2801 8064 8160 5496 3540 16353 19868 16618 11340 6979 1969 7408 8610 1131 3137 13948 11844 8169 630 6631 3870 9487 16814 13566 2802 13149 11127 15267 1303 7719 17044 7972 4740 2021 9022 15630 17616 12785 109 1962 142 12815 12754 8171 18083 17368 9150 16605 16670 842 16235 2353 16623 9327 2568 7073 2554 15325 16797 19757 19759 1335 882 2500 18965 15343 732 20007 5246 5143 4168 20057 11575 165 2405 1900 8985 1132 12026 6211 161 1839
(943,16545) 7447 42 17583 3737 12301 3197 2087 9149 10004 3148 1335 14194 9427 16786 285 15110 18922 12401 10834 2537 4244 2212 8116 7923 931 2987 9395 7554 1641 11365 576 11664 20137 3912 1439 226 12983 2784 1543 10130 12993 2062 4225 8524 6600 10655 10204 6330 6630 12321 4896 9327 1250 1850 1468 1078 5591 10862 5945 17640 8120 6110 13750 2430 16725 1484 7421 4822 15211 1 13569 7446 20037 14191 429 7001 3612 8595 8641 1440 19041 6825 6251 7647 2043 10864 16748 10938 6463 4126 1358 6039 11227 15793 13665 10876 1200 574 1723 18128
(915,8235) 17634 6275 20111 7075 922 14683 10507 19736 12532 6732 11164 19394 7099 5831 18736 2862 3078 892 8408 3628 611 3803 3527 7071 5035 10408 1861 12510 12246 11524 8028 6659 2366 2436 5363 13173 3248 801 1012 5559 1007 9593 2643 6161 18995 8993 6709 19142 16915 11909 15969 4877 6252 10417 390 6223 13005 1156 14880 6262 5068 3396 1415 108 4116 43 10320 10666 119 14850 2396 16820 10366 202 6776 6427 2055 13650 5776 4483 448 18967 82 2687 2037 2315 4688 5777 8450 12397 12920 17058 11641 8736 5810 4927 7421 9045 17232 16248
(915,14840) 1975 6564 18720 6356 1855 9034 14988 4688 4126 3104 2543 2886 12121 3816 3506 4881 259 11340 12397 17725 16549 8242 6567 13542 1386 2861 7473 504 16453 1429 787 2755 5899 9413 8803 20126 7408 2899 18411 13279 9288 2644 12734 17723 2729 1799 940 11734 3087 9085 6727 19915 4585 2221 15379 3344 729 5910 17590 1848 5832 1937 12554 11638 20404 7477 11430 19736 12674 2316 2414 10856 9346 11268 17079 12018 1476 7883 18479 8472 1796 2280 12204 19414 16444 12885 36 785 5927 8455 8399 16718 16616 16675 3287 5896 9416 791 846 3309
(915,617) 9416 3935 11695 1037 2368 2641 1578 7697 6915 586 9788 15281 18770 20400 13488 8648 805 4538 682 16601 13390 6412 3308 9200 7182 1321 3628 12443 5831 7523 2081 14829 18192 5489 3214 15634 15355 17140 1656 6020 18095 13138 14916 3183 4027 5213 6788 15834 13587 14511 2888 18960 10471 13172 1322 103 19728 12827 3080 17076 10431 3309 17945 18545 16713 6542 18209 1546 1305 2512 3642 16913 14399 7076 14048 1023 11467 4148 2991 4704 14366 6516 15161 2636 237 9121 9802 870 16670 8076 54 2776 15671 10906 831 7836 10576 19460 2436 4187
(915,12364) 5958 14085 9220 7106 9513 7257 10056 4822 3156 5361 2719 1741 6055 546 2696 13784 332 12502 8110 2300 2145 19164 8247 9563 3173 5671 16589 6123 3921 7272 18056 1537 9649 2414 11152 8398 3520 5996 9248 12516 14671 6056 9807 15348 2095 13586 17583 5909 10765 5149 1752 9062 2897 20548 4434 7734 19908 287 5306 1424 6907 20040 2508 814 10034 10305 13762 4457 2272 1684 19838 10342 15745 10260 2828 1828 3826 7687 4783 16265 8716 4820 11734 10468 8111 2688 13543 13452 13495 621 10025 5205 6451 5203 4661 9884 7097 6983 1286 17451
(915,10021) 1286 17657 2523 8090 11757 18136 5613 10638 12366 21 10408 2899 16625 5934 4961 2982 15632 4577 3740 1415 2618 7718 16599 118 17544 2439 10040 2721 6335 16800 6740 5518 2634 3020 456 6256 15909 6345 11366 4526 16805 15795 1010 6721 8359 2839 7511 7639 8314 7605 4349 14361 17550 13524 1075 14782 5777 12745 3696 2092 12764 4157 6754 1091 10429 1494 10636 6061 11371 14048 7073 3844 795 851 8958 6434 13888 3227 8434 13934 4523 35 2755 699 2410 12195 13010 7294 4416 13568 509 5025 4820 7876 8396 15126 16798 2069 12641 5245
(49,11118) 10306 4377 547 3642 18154 13895 1925 3319 2387 10015 2193 2472 14673 13571 519 54 1174 17775 15282 3599 17564 19987 20114 2910 753 8450 9787 4138 4950 6541 5778 10739 6897 8468 10832 18010 3091 3770 8497 16915 20094 9596 939 15341 235 18720 12485 5972 165 6051 5524 1836 17646 12019 14887 17574 2553 12993 2043 634 16813 586 19159 8771 4142 16385 18749 16299 14361 563 4124 1648 1293 2443 262 518 15901 3352 10025 14186 9631 9802 16882 8739 8222 13119 3928 20289 5275 190 12300 7028 4229 7786 6995 2441 2953 15929 1749 2830
(603,11118) 7733 7204 10756 1914 971 2204 10057 5414 9657 5306 15611 4340 12674 15735 487 344 19164 14044 10492 6509 7636 10521 675 18457 4685 5482 6675 20135 1266 6449 20068 4097 13670 1838 15754 65 8457 14743 349 11284 2118 8840 169 11174 12235 16733 4386 5697 9884 91 201 1364 19580 16147 2934 10064 2126 6172 15262 13922 10025 10507 1152 3951 16781 6735 10842 11209 701 1050 13030 14903 9817 5101 4844 6160 11757 20178 12398 14368 4682 6732 13486 12554 5962 5162 562 7952 3774 13566 6330 9214 723 17223 823 9788 4171 14976 3634 3105
(445,1079) 5495 8580 8668 6258 7195 3786 7858 3896 14780 2947 17609 7488 11397 5533 4197 4360 16172 286 1390 5510 6609 10920 17579 5186 10241 7234 14193 8271 16548 15837 3072 8454 20274 10591 5803 6711 19459 9532 2440 19842 9499 2729 2660 17506 1566 219 2975 9099 5214 3863 5259 4123 14217 1885 15272 11727 3731 2914 5449 7092 16349 6260 2534 2668 367 17586 3835 10049 12396 16380 1871 342 5674 6217 15009 6998 177 7705 17629 10500 15327 3957 7744 6026 12936 16772 5441 13725 11757 5966 11677 10166 1433 5333 731 7496 7076 3315 20021 7919
