1 4202,4515,5313,8025,16608
2 1014,2254,3300,4763,16029
3 2435,9476,17277,17920,18609
4 6809,7016,13687,15510,18112
5 4433,12673,12776,16712,18703
6 2481,4684,11753,17440
7 5765,6625,9684,10133,15039
8 200,1277,5360,7779
9 620,2838,4461,8072
10 5242,5498,12371,14456,18407
11 619,1156,10172,17034,17835
12 3563,9389,12573,13075,17337
13 275,2185,3029,9783,15443
14 5508,5675,7760,8492,14513
15 2365,8315,13171,14851,15548
16 369,6989,8793,10800,17807
17 1535,6827,7176,9056
18 3093,9600,12894,13340,17799
19 183,1769,9899,11236,15931
20 1991,3188,7131,7503,15624
21 2559,4214,9349,18465,18592
22 2118,3681,7748,11821,17117
23 2073,4138,5300,9225,16733
24 799,2898,16712,17028,18585
25 2386,3987,5098,12086,16653
26 2174,8471,9994,19051,19093
27 7286,12123,12716,19050
28 156,2153,6263,12071,15648
29 830,3370,4475,7981,9743
30 2410,9217,11719,17220,18272
31 3017,5557,16609,16636,17012
32 1137,2826,5985,9751,17102
33 105,1312,2934,15255,17094
34 2480,10608,11038,11803,18777
35 18,6803,7642,13009,15612
36 5375,5617,11955,13748,18642
37 7391,8002,11514,11610,18149
38 1156,10668,10737
39 514,5076,5231,6378,7330
40 3054,5241,7756,10920,14450
41 6091,6738,6942,9013,12945
42 4483,9506,13222,18928
43 2708,5027,7371,12457,14193
44 732,3586,11833,15744,16933
45 7526,10383,11033,16303,17247
46 3148,3369,7214,15188
47 5208,7666,7702,12120,14141
48 3095,8094,9510,10941,17831
49 3895,13549,17794,18184,19285
50 1255,2191,4781,5497,13481
51 5425,6185,10575,12534,17991
52 6658,7013,7862,17478,18069
53 3307,12120,15758,18535,18670
54 2344,3865,5618
55 1738,4647,6038,10078,18226
56 618,4474,17205,17569,18585
57 474,4609,6956,15743,17051
58 1025,4903,6918,15190,19002
59 717,1756,3678,17167
60 8716,9967,12304,16331,18382
61 4282,8014,10727,11742
62 1965,2237,3939,19234
63 1052,17423
64 472,3516,6858,12814,13853
65 1410,1421,1483,6096,15932
66 7444,8021,10825,13866,14944
67 370,8394,14791,16263,17198
68 4587,5593,6208,6600
69 112,5210,13796,14684
70 229,537,2495,18404
71 3621,4018,12707,15252,19034
72 619,3487,7641,17045,17739
73 63,3270,15799,17626,18762
74 1736,3736,5626,15852,16631
75 439,1253,3433,5656,14309
76 1214,2228,5343,6665,11076
77 3262,5853,10866,11883,17185
78 728,1252,6757,9881,13895
79 1499,2923,3610,9781,11579
80 1035,10892,15252,17153,17475
81 158,729,9635,15041,16964
82 2678,4993,6266,9037,15656
83 1893,3819,3958,5024,8975
84 4321,4979,8721,9223,9880
85 71,2810,17544,18108,18892
86 2226,2238,7078,8431,11350
87 13461,14981,16114,16495,18005
88 8228,11941,12593,13075,14343
89 4011,7172,7877,15886,17937
90 913,3173,5314,13675,15170
91 2599,2983,8584,13088,13104
92 474,4931,14916,16909
93 7123,7333,10914,15633,18280
94 4342,5694,9744
95 6932,9992,10152,13154,13431
96 8010,8382,15714,18325,18953
97 5495,15905,17202,18803,18813
98 914,2384,7077,7660,9696
99 2962,2966,6731,15541,16782
100 2061,4209,10645,14855,15506
101 1693,4232,15126,16369,17539
102 14502,14702,14770,17750,18526
103 1637,11975,16834,18807
104 1514,2109,6840,7854,10881
105 827,3784,9617,14843,17349
106 2865,6662,11531,12515,15051
107 1458,15249,15898,16933
108 958,5941,7669,12622,16830
109 1576,3384,8735,17086,19306
110 1152,2116,5148,5974,8281
111 2944,4093,17143
112 2552,4647,11857,17212,18827
113 3384,4115,12928,13120,15858
114 3042,4779,12577,15369,17945
115 6301,7884,13391,15986,16151
116 1189,1584,3795,18504
117 1171,6852,10481,14130,18891
118 8259,9820,12908,16434,19142
119 861,4409,4528,9950,13250
120 3809,4903,11674,14202,16843
121 1543,10123,12002,14166,16684
122 1406,3564,4203,4913,6449
123 1559,2967,3129,8797,9991
124 2566,9560,16463,16933
125 219,12113,13856,17755,18780
126 923,2836,4861,6402,11276
127 871,5202,9014,11087
128 1410,4525,6771,13249,16969
129 12506,12578,13315,16191,17892
130 2579,4684,8242,16524,17452
131 2464,6902,8000,12152,16762
132 8178,14361,14724,16869,18213
133 327,1058,3593,15955
134 4482,4614,5955,12903
135 1209,1869,6357,15298,16462
136 1394,7023,7570,9021,17587
137 1045,1788,4182,9026,9050
138 1732,9161
139 9049,10056,14163,18131,19217
140 4262,16653,17495,18607
141 2978,8998,9799,14536,18004
142 1745,7028,7661,11091,19004
143 1944,2504,9942,10802,19395
144 12168,14968,16332,17251,18657
145 3317,3596,11530,17041
146 2003,3335,6175,13668
147 2522,5576,6856,7358,15857
148 3564,8213,9565,13129,17093
149 3924,9081,10160,18218,18292
150 3451,3822,5967,16127,16450
