,user_id,item_id,rating,timestamp
1,1,0,5,929343600
2,2,0,3,929602800
3,3,0,1,930812400
4,4,0,2,931244400
5,5,0,2,931762800
6,6,0,5,931849200
7,7,0,2,931849200
8,8,0,4,932108400
9,9,0,5,935132400
10,10,0,1,935478000
11,11,0,1,939020400
12,12,0,5,939538800
13,13,0,5,939711600
14,14,1,4,940143600
15,15,0,5,940489200
16,16,2,4,940834800
17,17,0,5,941180400
18,18,0,1,941871600
19,19,0,3,942134400
20,20,0,4,942220800
21,21,0,4,942566400
22,22,0,1,943344000
23,23,0,3,943430400
24,24,0,4,943603200
25,25,0,5,943689600
26,26,0,5,943862400
27,27,0,5,943948800
28,28,0,2,944035200
29,29,0,2,944121600
30,30,0,5,944121600
31,31,0,4,944121600
32,32,0,3,944294400
33,33,0,4,944294400
34,34,2,5,944380800
35,35,0,5,944467200
36,36,0,4,944553600
37,37,0,5,944553600
38,38,0,2,944553600
39,39,0,5,944640000
40,40,0,5,944812800
41,41,0,2,944812800
42,42,1,5,945072000
43,43,0,4,945849600
44,44,0,5,946281600
45,45,0,5,946368000
46,46,0,5,946540800
47,47,0,5,946886400
48,48,0,1,946972800
49,49,0,4,947145600
50,50,0,4,947145600
51,51,0,1,947145600
52,52,0,4,947232000
53,53,0,1,947404800
54,54,0,5,947664000
55,55,0,5,947836800
56,56,0,5,948096000
57,57,0,5,948528000
58,58,0,4,948700800
59,59,0,5,949132800
60,60,0,5,949305600
61,61,0,3,949392000
62,62,0,5,949392000
63,63,0,3,950515200
64,64,0,3,950601600
65,65,0,1,950947200
66,66,0,3,951120000
67,67,0,2,951638400
68,68,0,5,951724800
69,69,0,4,951811200
70,70,0,2,951897600
71,71,0,5,952848000
72,72,0,5,953190000
73,73,0,5,953276400
74,74,0,2,953708400
75,75,1,5,953708400
76,76,1,5,953794800
77,77,1,2,953967600
78,78,3,4,954226800
79,79,3,5,954226800
80,80,3,4,954399600
81,81,3,5,954486000
82,82,0,5,954572400
83,83,2,5,954918000
84,84,3,1,955004400
85,85,0,5,955522800
86,86,3,2,955522800
87,87,3,5,955522800
88,88,3,4,955695600
89,89,0,5,955782000
90,90,3,4,955782000
91,91,0,2,955868400
92,92,3,5,955954800
93,93,0,1,956386800
94,94,0,1,956818800
95,95,0,4,957078000
96,96,1,5,957510000
97,97,0,1,957596400
98,98,3,4,957855600
99,99,0,1,957855600
100,100,3,5,957855600
101,101,0,5,958028400
102,102,3,5,958114800
103,103,2,5,958287600
104,104,1,5,958374000
105,105,0,5,958374000
106,106,0,4,958546800
107,107,3,3,958546800
108,108,3,5,958633200
109,109,3,5,958633200
110,110,3,4,958719600
111,111,0,4,958978800
112,112,0,2,959065200
113,113,1,5,959065200
114,114,0,3,959238000
115,115,3,1,959324400
116,116,0,5,959324400
117,117,4,5,959583600
118,118,0,5,960188400
119,119,5,5,960274800
120,120,0,5,960274800
121,121,3,5,960274800
122,122,0,3,960447600
123,123,6,1,960620400
124,124,0,5,960620400
125,125,6,4,960620400
126,126,0,4,960706800
127,127,7,4,960793200
128,128,0,4,960879600
129,129,6,5,960966000
130,130,8,3,960966000
131,131,7,4,961052400
132,132,0,3,961052400
133,133,0,5,961311600
134,134,7,5,961398000
135,135,0,2,961484400
136,136,2,4,961830000
137,137,3,3,962002800
138,138,7,4,962002800
139,139,3,3,962262000
140,140,1,1,962348400
141,141,0,4,962348400
142,142,0,4,962953200
143,143,3,5,962953200
144,144,9,5,963212400
145,145,0,2,963298800
146,146,2,4,963385200
147,147,7,5,963471600
148,148,0,4,963644400
149,149,3,5,963644400
150,150,7,5,963730800
151,151,0,3,963730800
152,152,0,4,963903600
153,153,0,3,964681200
154,154,7,3,964767600
155,155,5,3,964767600
156,156,0,4,965113200
157,157,7,2,965372400
158,158,3,2,965458800
159,159,10,5,965545200
160,160,1,5,965977200
161,161,11,4,966841200
162,162,3,3,966841200
163,163,0,3,967532400
164,164,0,4,967618800
165,165,7,1,967618800
166,166,5,4,968914800
167,167,1,5,969433200
168,168,0,1,969692400
169,169,12,5,969865200
170,170,12,5,969951600
171,171,4,5,970815600
